nr_pokolenia najlepszy_fitness sredni_fitness najgorszy_fitness
205 13,36 10,05 9,27
206 13,85 10,85 9,29
207 13,95 10,66 9,15
208 14,34 11,26 9,14
209 14,78 11,19 9,49
210 15,01 11,63 9,43
211 15,05 11,10 7,70
212 15,05 12,39 9,11
213 15,10 12,73 7,83
214 15,10 13,49 9,75
215 15,14 12,42 8,59
216 15,14 11,51 9,43
217 15,14 11,20 8,87
218 15,15 11,53 8,99
219 15,30 12,04 8,92
220 15,30 13,50 9,40
221 15,36 14,01 12,59
222 15,38 13,47 11,48
223 15,38 13,58 11,10
224 15,38 13,40 11,78
225 14,79 12,23 9,89
226 14,67 11,02 8,48
227 14,81 11,92 8,51
228 14,85 12,61 10,77
229 14,85 11,48 9,59
230 14,87 11,88 10,58
231 14,78 12,74 11,05
232 15,16 11,97 9,77
233 15,16 13,15 9,88
234 15,16 12,93 9,23
235 15,16 14,40 11,25
236 15,16 14,91 14,27
237 15,16 14,22 11,54
238 15,16 12,94 10,18
239 15,16 14,18 11,95
240 15,16 13,98 11,00
241 15,16 13,12 9,69
242 15,16 12,54 9,50
243 15,77 13,41 10,28
244 15,80 12,61 10,87
245 15,16 13,17 10,83
246 15,34 13,01 10,36
247 15,43 12,39 10,58
248 15,45 11,74 9,32
249 15,77 12,34 8,92
250 15,80 13,69 10,98
251 15,80 13,45 10,56
252 15,80 14,07 12,22
253 15,80 13,57 8,99
254 15,80 14,00 11,75
255 15,80 14,56 10,97
256 15,80 14,94 10,83
257 15,88 14,94 11,48
258 16,14 13,76 10,22
259 16,14 13,00 10,29
260 16,14 13,75 11,45
261 16,20 12,12 8,54
262 16,20 11,27 8,14
263 16,20 11,32 8,05
264 16,20 11,47 8,99
265 16,20 11,61 7,39
266 16,20 13,32 10,03
267 16,20 14,27 10,82
268 16,20 13,59 11,08
269 16,20 14,08 11,55
270 16,20 14,62 10,97
271 16,44 15,56 13,10
272 16,42 15,26 13,17
273 16,48 14,47 11,17
274 16,50 13,98 9,40
275 16,50 15,10 11,36
276 16,50 14,93 11,20
277 16,50 14,49 10,14
278 16,50 15,71 14,07
279 16,50 15,86 13,60
280 16,50 15,65 14,03
281 16,50 14,95 10,82
282 16,50 15,14 12,99
283 16,50 14,78 10,77
284 16,50 15,00 11,94
285 16,50 13,70 8,60
286 16,50 13,47 9,74
287 16,50 15,05 12,47
288 16,50 14,26 10,86
289 16,50 14,30 12,60
290 16,17 14,72 13,23
291 16,49 13,82 10,45
292 16,50 14,01 9,97
293 16,50 13,51 8,78
294 16,50 12,83 8,42
295 16,50 13,11 7,20
296 16,50 12,44 9,04
297 16,50 11,25 7,96
298 16,50 11,27 8,04
299 16,50 10,79 8,18
300 16,50 10,00 7,87
301 16,50 10,79 8,24
302 16,50 10,64 8,22
303 16,50 11,78 8,48
304 16,50 12,82 8,25
305 16,50 11,70 8,20
306 16,50 12,47 8,00
307 15,36 11,89 7,78
308 16,45 12,47 7,71
309 16,50 12,49 7,63
310 16,50 14,19 11,87
311 16,50 14,52 11,88
312 16,50 15,41 12,93
313 16,50 13,29 9,92
314 15,48 13,29 11,70
315 15,64 14,15 11,86
316 16,50 14,18 10,35
317 16,50 13,62 11,05
318 16,50 14,35 11,62
319 16,50 14,63 12,26
320 16,50 14,15 11,03
321 16,50 14,97 13,21
322 16,50 14,47 10,37
323 16,50 14,50 10,93
324 16,50 15,00 12,00
325 16,50 15,35 13,90
326 16,50 15,55 14,13
327 16,79 15,07 11,42
328 16,79 13,10 9,93
329 16,79 13,07 10,58
330 16,28 12,54 9,88
331 16,35 11,79 9,18
332 16,51 11,63 9,18
333 16,79 11,92 9,38
334 16,79 12,89 9,04
335 16,79 9,80 8,70
336 16,79 10,03 7,33
337 16,79 11,39 7,75
338 16,79 11,47 9,21
339 16,79 11,34 7,62
340 16,79 12,47 10,17
341 16,79 13,44 10,24
342 16,79 12,40 9,34
343 16,79 11,11 9,31
344 16,79 11,99 9,04
345 16,79 11,32 8,60
346 16,79 11,42 8,67
347 16,79 14,37 10,53
348 16,79 14,58 9,77
349 16,79 13,05 9,17
350 16,79 13,68 9,55
351 16,79 11,29 8,94
352 16,79 10,51 8,45
353 12,83 10,12 8,21
354 13,79 11,15 8,70
355 15,83 11,19 7,76
356 15,83 11,79 7,51
357 16,55 11,83 7,29
358 16,71 12,25 7,72
359 16,71 14,25 11,40
360 16,79 13,57 10,14
361 16,79 12,74 8,52
362 16,79 12,97 9,68
363 16,79 13,89 10,01
364 16,79 13,81 10,14
365 16,79 14,28 10,34
366 16,79 16,29 15,35
